county,fips,state,usda_region,usda_region_number
Cleveland County,5025,Arkansas,Southern Region,8
Columbia County,5027,Arkansas,Southern Region,8
Conway County,5029,Arkansas,Southern Region,8
Craighead County,5031,Arkansas,Southern Region,8
Crawford County,5033,Arkansas,Southern Region,8
Crittenden County,5035,Arkansas,Southern Region,8
Cross County,5037,Arkansas,Southern Region,8
Dallas County,5039,Arkansas,Southern Region,8
Desha County,5041,Arkansas,Southern Region,8
Drew County,5043,Arkansas,Southern Region,8
Faulkner County,5045,Arkansas,Southern Region,8
Franklin County,5047,Arkansas,Southern Region,8
Fulton County,5049,Arkansas,Southern Region,8
Garland County,5051,Arkansas,Southern Region,8
Grant County,5053,Arkansas,Southern Region,8
Greene County,5055,Arkansas,Southern Region,8
Hempstead County,5057,Arkansas,Southern Region,8
Hot Spring County,5059,Arkansas,Southern Region,8
Howard County,5061,Arkansas,Southern Region,8
Independence County,5063,Arkansas,Southern Region,8
Izard County,5065,Arkansas,Southern Region,8
Jackson County,5067,Arkansas,Southern Region,8
Jefferson County,5069,Arkansas,Southern Region,8
Johnson County,5071,Arkansas,Southern Region,8
Lafayette County,5073,Arkansas,Southern Region,8
Lawrence County,5075,Arkansas,Southern Region,8
Lee County,5077,Arkansas,Southern Region,8
Lincoln County,5079,Arkansas,Southern Region,8
Little River County,5081,Arkansas,Southern Region,8
Logan County,5083,Arkansas,Southern Region,8
Lonoke County,5085,Arkansas,Southern Region,8
Madison County,5087,Arkansas,Southern Region,8
Marion County,5089,Arkansas,Southern Region,8
Miller County,5091,Arkansas,Southern Region,8
Mississippi County,5093,Arkansas,Southern Region,8
Monroe County,5095,Arkansas,Southern Region,8
Montgomery County,5097,Arkansas,Southern Region,8
Nevada County,5099,Arkansas,Southern Region,8
Newton County,5101,Arkansas,Southern Region,8
Ouachita County,5103,Arkansas,Southern Region,8
Perry County,5105,Arkansas,Southern Region,8
Phillips County,5107,Arkansas,Southern Region,8
Pike County,5109,Arkansas,Southern Region,8
Poinsett County,5111,Arkansas,Southern Region,8
Polk County,5113,Arkansas,Southern Region,8
Pope County,5115,Arkansas,Southern Region,8
Prairie County,5117,Arkansas,Southern Region,8
Pulaski County,5119,Arkansas,Southern Region,8
Randolph County,5121,Arkansas,Southern Region,8
St. Francis County,5123,Arkansas,Southern Region,8
Saline County,5125,Arkansas,Southern Region,8
Scott County,5127,Arkansas,Southern Region,8
Searcy County,5129,Arkansas,Southern Region,8
Sebastian County,5131,Arkansas,Southern Region,8
Sevier County,5133,Arkansas,Southern Region,8
Sharp County,5135,Arkansas,Southern Region,8
Stone County,5137,Arkansas,Southern Region,8
Union County,5139,Arkansas,Southern Region,8
Van Buren County,5141,Arkansas,Southern Region,8
Washington County,5143,Arkansas,Southern Region,8
White County,5145,Arkansas,Southern Region,8
Woodruff County,5147,Arkansas,Southern Region,8
Yell County,5149,Arkansas,Southern Region,8
Alachua County,12001,Florida,Southern Region,8
Baker County,12003,Florida,Southern Region,8
Bay County,12005,Florida,Southern Region,8
Bradford County,12007,Florida,Southern Region,8
Brevard County,12009,Florida,Southern Region,8
Broward County,12011,Florida,Southern Region,8
Calhoun County,12013,Florida,Southern Region,8
Charlotte County,12015,Florida,Southern Region,8
Citrus County,12017,Florida,Southern Region,8
Clay County,12019,Florida,Southern Region,8
Collier County,12021,Florida,Southern Region,8
Columbia County,12023,Florida,Southern Region,8
DeSoto County,12027,Florida,Southern Region,8
Dixie County,12029,Florida,Southern Region,8
Duval County,12031,Florida,Southern Region,8
Escambia County,12033,Florida,Southern Region,8
Flagler County,12035,Florida,Southern Region,8
Franklin County,12037,Florida,Southern Region,8
Gadsden County,12039,Florida,Southern Region,8
Gilchrist County,12041,Florida,Southern Region,8
Glades County,12043,Florida,Southern Region,8
Gulf County,12045,Florida,Southern Region,8
Hamilton County,12047,Florida,Southern Region,8
Hardee County,12049,Florida,Southern Region,8
Hendry County,12051,Florida,Southern Region,8
Hernando County,12053,Florida,Southern Region,8
Highlands County,12055,Florida,Southern Region,8
Hillsborough County,12057,Florida,Southern Region,8
Holmes County,12059,Florida,Southern Region,8
Indian River County,12061,Florida,Southern Region,8
Jackson County,12063,Florida,Southern Region,8
Jefferson County,12065,Florida,Southern Region,8
Lafayette County,12067,Florida,Southern Region,8
Lake County,12069,Florida,Southern Region,8
Lee County,12071,Florida,Southern Region,8
Leon County,12073,Florida,Southern Region,8
Levy County,12075,Florida,Southern Region,8
Liberty County,12077,Florida,Southern Region,8
Madison County,12079,Florida,Southern Region,8
Manatee County,12081,Florida,Southern Region,8
Marion County,12083,Florida,Southern Region,8
Martin County,12085,Florida,Southern Region,8
Miami-Dade County,12086,Florida,Southern Region,8
Monroe County,12087,Florida,Southern Region,8
Nassau County,12089,Florida,Southern Region,8
Okaloosa County,12091,Florida,Southern Region,8
Okeechobee County,12093,Florida,Southern Region,8
Orange County,12095,Florida,Southern Region,8
Osceola County,12097,Florida,Southern Region,8
Palm Beach County,12099,Florida,Southern Region,8
Pasco County,12101,Florida,Southern Region,8
Pinellas County,12103,Florida,Southern Region,8
Polk County,12105,Florida,Southern Region,8
Putnam County,12107,Florida,Southern Region,8
St. Johns County,12109,Florida,Southern Region,8
St. Lucie County,12111,Florida,Southern Region,8
Santa Rosa County,12113,Florida,Southern Region,8
Sarasota County,12115,Florida,Southern Region,8
Seminole County,12117,Florida,Southern Region,8
Sumter County,12119,Florida,Southern Region,8
Suwannee County,12121,Florida,Southern Region,8
Taylor County,12123,Florida,Southern Region,8
Union County,12125,Florida,Southern Region,8
Volusia County,12127,Florida,Southern Region,8
Wakulla County,12129,Florida,Southern Region,8
Walton County,12131,Florida,Southern Region,8
Washington County,12133,Florida,Southern Region,8
Appling County,13001,Georgia,Southern Region,8
Atkinson County,13003,Georgia,Southern Region,8
Bacon County,13005,Georgia,Southern Region,8
Baker County,13007,Georgia,Southern Region,8
Baldwin County,13009,Georgia,Southern Region,8
Banks County,13011,Georgia,Southern Region,8
Barrow County,13013,Georgia,Southern Region,8
Bartow County,13015,Georgia,Southern Region,8
Ben Hill County,13017,Georgia,Southern Region,8
Berrien County,13019,Georgia,Southern Region,8
Bibb County,13021,Georgia,Southern Region,8
Bleckley County,13023,Georgia,Southern Region,8
Brantley County,13025,Georgia,Southern Region,8
Brooks County,13027,Georgia,Southern Region,8
Bryan County,13029,Georgia,Southern Region,8
Bulloch County,13031,Georgia,Southern Region,8
Burke County,13033,Georgia,Southern Region,8
Butts County,13035,Georgia,Southern Region,8
Calhoun County,13037,Georgia,Southern Region,8
Camden County,13039,Georgia,Southern Region,8
Candler County,13043,Georgia,Southern Region,8
Carroll County,13045,Georgia,Southern Region,8
Catoosa County,13047,Georgia,Southern Region,8
Charlton County,13049,Georgia,Southern Region,8
Chatham County,13051,Georgia,Southern Region,8
Chattahoochee County,13053,Georgia,Southern Region,8
Chattooga County,13055,Georgia,Southern Region,8
Cherokee County,13057,Georgia,Southern Region,8
Clarke County,13059,Georgia,Southern Region,8
Clay County,13061,Georgia,Southern Region,8
Clayton County,13063,Georgia,Southern Region,8
Clinch County,13065,Georgia,Southern Region,8
Cobb County,13067,Georgia,Southern Region,8
Coffee County,13069,Georgia,Southern Region,8
Colquitt County,13071,Georgia,Southern Region,8
Columbia County,13073,Georgia,Southern Region,8
Cook County,13075,Georgia,Southern Region,8
Coweta County,13077,Georgia,Southern Region,8
Crawford County,13079,Georgia,Southern Region,8
Crisp County,13081,Georgia,Southern Region,8
Dade County,13083,Georgia,Southern Region,8
Dawson County,13085,Georgia,Southern Region,8
Decatur County,13087,Georgia,Southern Region,8
DeKalb County,13089,Georgia,Southern Region,8
Dodge County,13091,Georgia,Southern Region,8
Dooly County,13093,Georgia,Southern Region,8
Dougherty County,13095,Georgia,Southern Region,8
Douglas County,13097,Georgia,Southern Region,8
Early County,13099,Georgia,Southern Region,8
Echols County,13101,Georgia,Southern Region,8
Effingham County,13103,Georgia,Southern Region,8
Elbert County,13105,Georgia,Southern Region,8
Emanuel County,13107,Georgia,Southern Region,8
Evans County,13109,Georgia,Southern Region,8
Fannin County,13111,Georgia,Southern Region,8
Fayette County,13113,Georgia,Southern Region,8
Floyd County,13115,Georgia,Southern Region,8
Forsyth County,13117,Georgia,Southern Region,8
Franklin County,13119,Georgia,Southern Region,8
Fulton County,13121,Georgia,Southern Region,8
Gilmer County,13123,Georgia,Southern Region,8
Glascock County,13125,Georgia,Southern Region,8
Glynn County,13127,Georgia,Southern Region,8
Gordon County,13129,Georgia,Southern Region,8
Grady County,13131,Georgia,Southern Region,8
Greene County,13133,Georgia,Southern Region,8
Gwinnett County,13135,Georgia,Southern Region,8
Habersham County,13137,Georgia,Southern Region,8
Hall County,13139,Georgia,Southern Region,8
Hancock County,13141,Georgia,Southern Region,8
Haralson County,13143,Georgia,Southern Region,8
Harris County,13145,Georgia,Southern Region,8
Hart County,13147,Georgia,Southern Region,8
Heard County,13149,Georgia,Southern Region,8
Henry County,13151,Georgia,Southern Region,8
Houston County,13153,Georgia,Southern Region,8
Irwin County,13155,Georgia,Southern Region,8
Jackson County,13157,Georgia,Southern Region,8
Jasper County,13159,Georgia,Southern Region,8
Jeff Davis County,13161,Georgia,Southern Region,8
Jefferson County,13163,Georgia,Southern Region,8
Jenkins County,13165,Georgia,Southern Region,8
Johnson County,13167,Georgia,Southern Region,8
Jones County,13169,Georgia,Southern Region,8
Lamar County,13171,Georgia,Southern Region,8
Lanier County,13173,Georgia,Southern Region,8
Laurens County,13175,Georgia,Southern Region,8
Lee County,13177,Georgia,Southern Region,8
Liberty County,13179,Georgia,Southern Region,8
Lincoln County,13181,Georgia,Southern Region,8
Long County,13183,Georgia,Southern Region,8
Lowndes County,13185,Georgia,Southern Region,8
Lumpkin County,13187,Georgia,Southern Region,8
McDuffie County,13189,Georgia,Southern Region,8
McIntosh County,13191,Georgia,Southern Region,8
Macon County,13193,Georgia,Southern Region,8
Madison County,13195,Georgia,Southern Region,8
Marion County,13197,Georgia,Southern Region,8
Meriwether County,13199,Georgia,Southern Region,8
Miller County,13201,Georgia,Southern Region,8
Mitchell County,13205,Georgia,Southern Region,8
Monroe County,13207,Georgia,Southern Region,8
Montgomery County,13209,Georgia,Southern Region,8
Morgan County,13211,Georgia,Southern Region,8
Murray County,13213,Georgia,Southern Region,8
Muscogee County,13215,Georgia,Southern Region,8
Newton County,13217,Georgia,Southern Region,8
Oconee County,13219,Georgia,Southern Region,8
Oglethorpe County,13221,Georgia,Southern Region,8
Paulding County,13223,Georgia,Southern Region,8
Peach County,13225,Georgia,Southern Region,8
Pickens County,13227,Georgia,Southern Region,8
Pierce County,13229,Georgia,Southern Region,8
Pike County,13231,Georgia,Southern Region,8
Polk County,13233,Georgia,Southern Region,8
Pulaski County,13235,Georgia,Southern Region,8
Putnam County,13237,Georgia,Southern Region,8
Quitman County,13239,Georgia,Southern Region,8
Rabun County,13241,Georgia,Southern Region,8
Randolph County,13243,Georgia,Southern Region,8
Richmond County,13245,Georgia,Southern Region,8
Rockdale County,13247,Georgia,Southern Region,8
Schley County,13249,Georgia,Southern Region,8
Screven County,13251,Georgia,Southern Region,8
Seminole County,13253,Georgia,Southern Region,8
Spalding County,13255,Georgia,Southern Region,8
Stephens County,13257,Georgia,Southern Region,8
Stewart County,13259,Georgia,Southern Region,8
Sumter County,13261,Georgia,Southern Region,8
Talbot County,13263,Georgia,Southern Region,8
Taliaferro County,13265,Georgia,Southern Region,8
Tattnall County,13267,Georgia,Southern Region,8
Taylor County,13269,Georgia,Southern Region,8
Telfair County,13271,Georgia,Southern Region,8
Terrell County,13273,Georgia,Southern Region,8
Thomas County,13275,Georgia,Southern Region,8
Tift County,13277,Georgia,Southern Region,8
Toombs County,13279,Georgia,Southern Region,8
Towns County,13281,Georgia,Southern Region,8
Treutlen County,13283,Georgia,Southern Region,8
Troup County,13285,Georgia,Southern Region,8
Turner County,13287,Georgia,Southern Region,8
Twiggs County,13289,Georgia,Southern Region,8
Union County,13291,Georgia,Southern Region,8
Upson County,13293,Georgia,Southern Region,8
Walker County,13295,Georgia,Southern Region,8
Walton County,13297,Georgia,Southern Region,8
Ware County,13299,Georgia,Southern Region,8
Warren County,13301,Georgia,Southern Region,8
Washington County,13303,Georgia,Southern Region,8
Wayne County,13305,Georgia,Southern Region,8
Webster County,13307,Georgia,Southern Region,8
Wheeler County,13309,Georgia,Southern Region,8
White County,13311,Georgia,Southern Region,8
Whitfield County,13313,Georgia,Southern Region,8
Wilcox County,13315,Georgia,Southern Region,8
Wilkes County,13317,Georgia,Southern Region,8
Wilkinson County,13319,Georgia,Southern Region,8
Worth County,13321,Georgia,Southern Region,8
Adair County,21001,Kentucky,Southern Region,8
Allen County,21003,Kentucky,Southern Region,8
Anderson County,21005,Kentucky,Southern Region,8
Ballard County,21007,Kentucky,Southern Region,8
Barren County,21009,Kentucky,Southern Region,8
Bath County,21011,Kentucky,Southern Region,8
Bell County,21013,Kentucky,Southern Region,8
Boone County,21015,Kentucky,Southern Region,8
Bourbon County,21017,Kentucky,Southern Region,8
Boyd County,21019,Kentucky,Southern Region,8
Boyle County,21021,Kentucky,Southern Region,8
Bracken County,21023,Kentucky,Southern Region,8
Breathitt County,21025,Kentucky,Southern Region,8
Breckinridge County,21027,Kentucky,Southern Region,8
Bullitt County,21029,Kentucky,Southern Region,8
Butler County,21031,Kentucky,Southern Region,8
Caldwell County,21033,Kentucky,Southern Region,8
Calloway County,21035,Kentucky,Southern Region,8
Campbell County,21037,Kentucky,Southern Region,8
Carlisle County,21039,Kentucky,Southern Region,8
Carroll County,21041,Kentucky,Southern Region,8
Carter County,21043,Kentucky,Southern Region,8
Casey County,21045,Kentucky,Southern Region,8
Christian County,21047,Kentucky,Southern Region,8
Clark County,21049,Kentucky,Southern Region,8
Clay County,21051,Kentucky,Southern Region,8
Clinton County,21053,Kentucky,Southern Region,8
Crittenden County,21055,Kentucky,Southern Region,8
Cumberland County,21057,Kentucky,Southern Region,8
Daviess County,21059,Kentucky,Southern Region,8
Edmonson County,21061,Kentucky,Southern Region,8
Elliott County,21063,Kentucky,Southern Region,8
Estill County,21065,Kentucky,Southern Region,8
Fayette County,21067,Kentucky,Southern Region,8
Fleming County,21069,Kentucky,Southern Region,8
Floyd County,21071,Kentucky,Southern Region,8
Franklin County,21073,Kentucky,Southern Region,8
Fulton County,21075,Kentucky,Southern Region,8
Gallatin County,21077,Kentucky,Southern Region,8
Garrard County,21079,Kentucky,Southern Region,8
Grant County,21081,Kentucky,Southern Region,8
Graves County,21083,Kentucky,Southern Region,8
Grayson County,21085,Kentucky,Southern Region,8
Green County,21087,Kentucky,Southern Region,8
Greenup County,21089,Kentucky,Southern Region,8
Hancock County,21091,Kentucky,Southern Region,8
Hardin County,21093,Kentucky,Southern Region,8
Harlan County,21095,Kentucky,Southern Region,8
Harrison County,21097,Kentucky,Southern Region,8
Hart County,21099,Kentucky,Southern Region,8
Henderson County,21101,Kentucky,Southern Region,8
Henry County,21103,Kentucky,Southern Region,8
Hickman County,21105,Kentucky,Southern Region,8
Hopkins County,21107,Kentucky,Southern Region,8
Jackson County,21109,Kentucky,Southern Region,8
Jefferson County,21111,Kentucky,Southern Region,8
Jessamine County,21113,Kentucky,Southern Region,8
Johnson County,21115,Kentucky,Southern Region,8
Kenton County,21117,Kentucky,Southern Region,8
Knott County,21119,Kentucky,Southern Region,8
Knox County,21121,Kentucky,Southern Region,8
Larue County,21123,Kentucky,Southern Region,8
Laurel County,21125,Kentucky,Southern Region,8
Lawrence County,21127,Kentucky,Southern Region,8
Lee County,21129,Kentucky,Southern Region,8
Leslie County,21131,Kentucky,Southern Region,8
Letcher County,21133,Kentucky,Southern Region,8
Lewis County,21135,Kentucky,Southern Region,8
Lincoln County,21137,Kentucky,Southern Region,8
Livingston County,21139,Kentucky,Southern Region,8
Logan County,21141,Kentucky,Southern Region,8
Lyon County,21143,Kentucky,Southern Region,8
McCracken County,21145,Kentucky,Southern Region,8
McCreary County,21147,Kentucky,Southern Region,8
McLean County,21149,Kentucky,Southern Region,8
Madison County,21151,Kentucky,Southern Region,8
Magoffin County,21153,Kentucky,Southern Region,8
Marion County,21155,Kentucky,Southern Region,8
Marshall County,21157,Kentucky,Southern Region,8
Martin County,21159,Kentucky,Southern Region,8
Mason County,21161,Kentucky,Southern Region,8
Meade County,21163,Kentucky,Southern Region,8
Menifee County,21165,Kentucky,Southern Region,8
Mercer County,21167,Kentucky,Southern Region,8
Metcalfe County,21169,Kentucky,Southern Region,8
Monroe County,21171,Kentucky,Southern Region,8
Montgomery County,21173,Kentucky,Southern Region,8
Morgan County,21175,Kentucky,Southern Region,8
Muhlenberg County,21177,Kentucky,Southern Region,8
Nelson County,21179,Kentucky,Southern Region,8
Nicholas County,21181,Kentucky,Southern Region,8
Ohio County,21183,Kentucky,Southern Region,8
Oldham County,21185,Kentucky,Southern Region,8
Owen County,21187,Kentucky,Southern Region,8
Owsley County,21189,Kentucky,Southern Region,8
Pendleton County,21191,Kentucky,Southern Region,8
Perry County,21193,Kentucky,Southern Region,8
Pike County,21195,Kentucky,Southern Region,8
Powell County,21197,Kentucky,Southern Region,8
Pulaski County,21199,Kentucky,Southern Region,8
Robertson County,21201,Kentucky,Southern Region,8
Rockcastle County,21203,Kentucky,Southern Region,8
Rowan County,21205,Kentucky,Southern Region,8
Russell County,21207,Kentucky,Southern Region,8
Scott County,21209,Kentucky,Southern Region,8
Shelby County,21211,Kentucky,Southern Region,8
Simpson County,21213,Kentucky,Southern Region,8
Spencer County,21215,Kentucky,Southern Region,8
Taylor County,21217,Kentucky,Southern Region,8
Todd County,21219,Kentucky,Southern Region,8
Trigg County,21221,Kentucky,Southern Region,8
Trimble County,21223,Kentucky,Southern Region,8
Union County,21225,Kentucky,Southern Region,8
Warren County,21227,Kentucky,Southern Region,8
Washington County,21229,Kentucky,Southern Region,8
Wayne County,21231,Kentucky,Southern Region,8
Webster County,21233,Kentucky,Southern Region,8
Whitley County,21235,Kentucky,Southern Region,8
Wolfe County,21237,Kentucky,Southern Region,8
Woodford County,21239,Kentucky,Southern Region,8
Acadia Parish,22001,Louisiana,Southern Region,8
Allen Parish,22003,Louisiana,Southern Region,8
Ascension Parish,22005,Louisiana,Southern Region,8
Assumption Parish,22007,Louisiana,Southern Region,8
Avoyelles Parish,22009,Louisiana,Southern Region,8
Beauregard Parish,22011,Louisiana,Southern Region,8
Bienville Parish,22013,Louisiana,Southern Region,8
Bossier Parish,22015,Louisiana,Southern Region,8
Caddo Parish,22017,Louisiana,Southern Region,8
Calcasieu Parish,22019,Louisiana,Southern Region,8
Caldwell Parish,22021,Louisiana,Southern Region,8
Cameron Parish,22023,Louisiana,Southern Region,8
Catahoula Parish,22025,Louisiana,Southern Region,8
Claiborne Parish,22027,Louisiana,Southern Region,8
Concordia Parish,22029,Louisiana,Southern Region,8
De Soto Parish,22031,Louisiana,Southern Region,8
East Baton Rouge Parish,22033,Louisiana,Southern Region,8
East Carroll Parish,22035,Louisiana,Southern Region,8
East Feliciana Parish,22037,Louisiana,Southern Region,8
Evangeline Parish,22039,Louisiana,Southern Region,8
Franklin Parish,22041,Louisiana,Southern Region,8
Grant Parish,22043,Louisiana,Southern Region,8
Iberia Parish,22045,Louisiana,Southern Region,8
Iberville Parish,22047,Louisiana,Southern Region,8
Jackson Parish,22049,Louisiana,Southern Region,8
Jefferson Parish,22051,Louisiana,Southern Region,8
Jefferson Davis Parish,22053,Louisiana,Southern Region,8
Lafayette Parish,22055,Louisiana,Southern Region,8
Lafourche Parish,22057,Louisiana,Southern Region,8
LaSalle Parish,22059,Louisiana,Southern Region,8
Lincoln Parish,22061,Louisiana,Southern Region,8
Livingston Parish,22063,Louisiana,Southern Region,8
Madison Parish,22065,Louisiana,Southern Region,8
Morehouse Parish,22067,Louisiana,Southern Region,8
Natchitoches Parish,22069,Louisiana,Southern Region,8
Orleans Parish,22071,Louisiana,Southern Region,8
Ouachita Parish,22073,Louisiana,Southern Region,8
Plaquemines Parish,22075,Louisiana,Southern Region,8
Pointe Coupee Parish,22077,Louisiana,Southern Region,8
Rapides Parish,22079,Louisiana,Southern Region,8
Red River Parish,22081,Louisiana,Southern Region,8
Richland Parish,22083,Louisiana,Southern Region,8
Sabine Parish,22085,Louisiana,Southern Region,8
St. Bernard Parish,22087,Louisiana,Southern Region,8
St. Charles Parish,22089,Louisiana,Southern Region,8
St. Helena Parish,22091,Louisiana,Southern Region,8
St. James Parish,22093,Louisiana,Southern Region,8
St. John the Baptist Parish,22095,Louisiana,Southern Region,8
St. Landry Parish,22097,Louisiana,Southern Region,8
St. Martin Parish,22099,Louisiana,Southern Region,8
St. Mary Parish,22101,Louisiana,Southern Region,8
St. Tammany Parish,22103,Louisiana,Southern Region,8
Tangipahoa Parish,22105,Louisiana,Southern Region,8
Tensas Parish,22107,Louisiana,Southern Region,8
Terrebonne Parish,22109,Louisiana,Southern Region,8
Union Parish,22111,Louisiana,Southern Region,8
Vermilion Parish,22113,Louisiana,Southern Region,8
Vernon Parish,22115,Louisiana,Southern Region,8
Washington Parish,22117,Louisiana,Southern Region,8
Webster Parish,22119,Louisiana,Southern Region,8
West Baton Rouge Parish,22121,Louisiana,Southern Region,8
West Carroll Parish,22123,Louisiana,Southern Region,8
West Feliciana Parish,22125,Louisiana,Southern Region,8
Winn Parish,22127,Louisiana,Southern Region,8
Adams County,28001,Mississippi,Southern Region,8
Alcorn County,28003,Mississippi,Southern Region,8
Amite County,28005,Mississippi,Southern Region,8
Attala County,28007,Mississippi,Southern Region,8
Benton County,28009,Mississippi,Southern Region,8
Bolivar County,28011,Mississippi,Southern Region,8
Calhoun County,28013,Mississippi,Southern Region,8
Carroll County,28015,Mississippi,Southern Region,8
Chickasaw County,28017,Mississippi,Southern Region,8
Choctaw County,28019,Mississippi,Southern Region,8
Claiborne County,28021,Mississippi,Southern Region,8
Clarke County,28023,Mississippi,Southern Region,8
Clay County,28025,Mississippi,Southern Region,8
Coahoma County,28027,Mississippi,Southern Region,8
Copiah County,28029,Mississippi,Southern Region,8
Covington County,28031,Mississippi,Southern Region,8
DeSoto County,28033,Mississippi,Southern Region,8
Forrest County,28035,Mississippi,Southern Region,8
Franklin County,28037,Mississippi,Southern Region,8
George County,28039,Mississippi,Southern Region,8
Greene County,28041,Mississippi,Southern Region,8
Grenada County,28043,Mississippi,Southern Region,8
Hancock County,28045,Mississippi,Southern Region,8
Harrison County,28047,Mississippi,Southern Region,8
Hinds County,28049,Mississippi,Southern Region,8
Holmes County,28051,Mississippi,Southern Region,8
Humphreys County,28053,Mississippi,Southern Region,8
Issaquena County,28055,Mississippi,Southern Region,8
Itawamba County,28057,Mississippi,Southern Region,8
Jackson County,28059,Mississippi,Southern Region,8
Jasper County,28061,Mississippi,Southern Region,8
Jefferson County,28063,Mississippi,Southern Region,8
Jefferson Davis County,28065,Mississippi,Southern Region,8
Jones County,28067,Mississippi,Southern Region,8
Kemper County,28069,Mississippi,Southern Region,8
Lafayette County,28071,Mississippi,Southern Region,8
Lamar County,28073,Mississippi,Southern Region,8
Lauderdale County,28075,Mississippi,Southern Region,8
Lawrence County,28077,Mississippi,Southern Region,8
Leake County,28079,Mississippi,Southern Region,8
Lee County,28081,Mississippi,Southern Region,8
Leflore County,28083,Mississippi,Southern Region,8
Lincoln County,28085,Mississippi,Southern Region,8
Lowndes County,28087,Mississippi,Southern Region,8
Madison County,28089,Mississippi,Southern Region,8
Marion County,28091,Mississippi,Southern Region,8
Marshall County,28093,Mississippi,Southern Region,8
Monroe County,28095,Mississippi,Southern Region,8
Montgomery County,28097,Mississippi,Southern Region,8
Neshoba County,28099,Mississippi,Southern Region,8
Newton County,28101,Mississippi,Southern Region,8
Noxubee County,28103,Mississippi,Southern Region,8
Oktibbeha County,28105,Mississippi,Southern Region,8
Panola County,28107,Mississippi,Southern Region,8
Pearl River County,28109,Mississippi,Southern Region,8
Perry County,28111,Mississippi,Southern Region,8
Pike County,28113,Mississippi,Southern Region,8
Pontotoc County,28115,Mississippi,Southern Region,8
Prentiss County,28117,Mississippi,Southern Region,8
Quitman County,28119,Mississippi,Southern Region,8
Rankin County,28121,Mississippi,Southern Region,8
Scott County,28123,Mississippi,Southern Region,8
